"MODELO","Temperatura do Motor","Sistema_Eletrico ","Cambio","Bateria ","Score","Status"
"Transit Minibus","0.9","0.3","0.2","0.1","0.45","Ruim"
"Marick","0.8","0.1","0.6","0.8","0.375","Ruim"
"Ranger","0.9","0.2","0.2","0.3","0.575","Ruim"
"Mustang Mach1","0.5","0.8","1","0.8","0.4","Ruim"
"Ranger XL","1","0.7","0","0.1","0.45","Ruim"
"Territory","0.1","0.1","0.3","0.9","0.45","Ruim"
"Transit Furgão","0.1","0.8","0","0.7","0.35","Ruim"
"Transit Furgão","0.2","0.1","0.9","0.2","0.4","Ruim"
"Ranger XL CD","0.5","0","0.2","0.7","0.35","Ruim"
"Transit Minibus","1","0.4","0.5","0.8","0.35","Ruim"
"Ranger","0.4","0.7","0.9","0","0.425","Ruim"
"Marick","0","0.1","0.9","0.7","0.5","Ruim"
"Bronco Sport","0.1","0","0.5","0.7","0.425","Ruim"
"Ranger XL","0.2","0.5","0.3","1","0.325","Ruim"
"Transit Furgão","1","0.2","0.9","0.5","0.5","Ruim"
"Territory","0.6","0.2","0.1","1","0.25","Ruim"
"Transit Furgão","0","0.2","0.7","0.2","0.475","Ruim"
"Bronco Sport","0.1","0.3","0.7","0.8","0.275","Ruim"
"Marick","0.5","0.2","1","0","0.475","Ruim"
"Marick","0.8","0.9","1","0.2","0.425","Ruim"
"Transit Furgão","0.2","0.7","0.1","0.2","0.6","Ruim"
"Ranger XL CD","0.9","0.5","1","0.8","0.3","Ruim"
"Mustang Mach1","0","1","0.4","0.2","0.8","Bom"
"Marick","1","0","0.2","0.9","0.4","Ruim"
"Transit Minibus","0","0.7","0.5","0","0.525","Ruim"
"Territory","0.4","0.9","0.7","0.5","0.3","Ruim"
"Transit Furgão","0.1","0.5","0","0.4","0.425","Ruim"
"Mustang Mach1","0.9","0.9","0.7","1","0.25","Ruim"
"Mustang Mach1","0.5","0.4","0.3","0.2","0.875","Bom"
"Transit Furgão","0.2","0.8","0.7","0.6","0.35","Ruim"
"Transit Furgão","0.2","0.8","0.7","0.7","0.575","Ruim"
"Ranger","0.1","0.6","0.5","0.1","0.6","Ruim"
"Ranger","0.8","0.3","0.2","0.5","0.325","Ruim"
"Mustang Mach1","0.7","1","0","0.5","0.45","Ruim"
"Bronco Sport","0.2","0.3","0.3","0.3","0.55","Ruim"
"Transit Minibus","0.7","0.3","0.2","1","0.275","Ruim"
"Mustang Mach1","1","0.8","0.5","0.2","0.55","Ruim"
"Transit Minibus","0.4","0.3","0.2","0.9","0.275","Ruim"
"Transit Furgão","0.7","0.3","0.8","0.7","0.45","Ruim"
"Territory","0.9","0.9","0.5","0.2","0.475","Ruim"
"Bronco Sport","0.9","1","0","0.2","0.3","Ruim"
"Marick","0.9","0.5","0.2","0.9","0.525","Ruim"
"Mustang Mach1","0.7","0.8","0","0.6","0.475","Ruim"
"Ranger XL","0.3","1","0","0.9","0.525","Ruim"
"Territory","0.3","0.3","0.1","0.6","0.55","Ruim"
"Ranger XL CD","0.9","0.7","0.9","0.6","0.325","Ruim"
"Territory","0.7","0.9","1","0.4","0.475","Ruim"
"Territory","1","0.8","0","0.2","0.55","Ruim"
"Territory","0.2","0.4","0.5","0.5","0.5","Ruim"
"Ranger","0.7","0.2","0.2","0","0.4","Ruim"
"Ranger","0.3","1","1","0.7","0.275","Ruim"
"Ranger","0.9","0.3","0.7","0.7","0.65","Revisao"
"Bronco Sport","1","1","0.8","0.2","0.65","Revisao"
"Mustang Mach1","1","0.4","0.4","0.7","0.75","Revisao"
"Transit Minibus","0.8","0.9","0.8","0.8","0.625","Revisao"
"Mustang Mach1","0.8","0.5","0.9","1","0.825","Bom"
"Ranger","0.3","0.5","1","0.7","0.8","Bom"
"Ranger","0.4","0.4","0.9","0.9","0.625","Revisao"
"Transit Minibus","0.1","0.7","0.8","0.4","0.65","Revisao"
"Transit Furgão","0.5","0.8","0.6","0.9","0.5","Ruim"
"Transit Furgão","0.2","0","0.9","0.7","0.7","Revisao"
"Territory","0.9","1","0.1","0.1","0.45","Ruim"
"Ranger XL","1","0.6","0.4","0.8","0.525","Ruim"
"Ranger","0.6","0.4","0.1","0","0.7","Revisao"
"Territory","0","0","0","0.1","0.275","Ruim"
"Territory","0.9","0.8","0.6","0","0.025","Ruim"
"Marick","0","0.9","0","0.4","0.575","Ruim"
"Transit Minibus","0","0.1","0.4","0.8","0.325","Ruim"
"Transit Minibus","0","0.3","0","0","0.325","Ruim"
"Transit Minibus","0.2","0.8","0.7","0.9","0.075","Ruim"
"Marick","0.9","0.9","0.6","0.8","0.65","Revisao"
"Mustang Mach1","0.7","0.6","0.8","0.9","0.8","Bom"
"Ranger XL","0.2","0.7","0.6","1","0.75","Revisao"
"Transit Minibus","0.6","0","0.2","0.6","0.625","Revisao"
"Marick","0.1","0.4","0.9","0.2","0.35","Ruim"
"Territory","0.4","0.3","1","0","0.4","Ruim"
"Transit Furgão","0.6","0.8","0.4","0","0.425","Ruim"
"Transit Furgão","0","0.1","0","0.4","0.45","Ruim"
"Mustang Mach1","0.5","0.7","0.6","0","0.125","Ruim"
"Ranger","0","0.7","0","1","0.45","Ruim"
"Ranger XL","0.3","0.4","0.8","0.7","0.425","Ruim"
"Transit Minibus","0.3","0.9","0.6","0.1","0.55","Ruim"
"Territory","0.9","0.3","0.1","0.1","0.475","Ruim"
"Mustang Mach1","0.7","0.8","0.4","0.7","0.35","Ruim"
"Bronco Sport","1","0.2","0.6","0.1","0.65","Revisao"
"Ranger","0.8","0.9","0.1","0.4","0.475","Ruim"
"Transit Furgão","0.9","0.3","0","0.7","0.55","Ruim"
"Bronco Sport","1","0.9","0.2","0","0.475","Ruim"
"Ranger","0.5","0.9","0.9","0.5","0.525","Ruim"
"Ranger XL","1","0.9","0.3","0.5","0.7","Revisao"
"Territory","0.8","1","0.7","0.7","0.675","Revisao"
"Bronco Sport","0.5","0.9","1","0.4","0.8","Bom"
"Ranger XL","1","0.7","0.7","0.4","0.7","Revisao"
"Marick","0.9","1","1","0.1","0.7","Revisao"
"Ranger XL","0.8","0.2","0.5","0.1","0.75","Revisao"
"Territory","0.3","0.2","0.7","0","0.4","Ruim"
"Ranger XL CD","0.4","0","0.7","0.5","0.3","Ruim"
"Bronco Sport","0.9","0.4","0.4","0.5","0.4","Ruim"
"Territory","0.5","0.5","0.2","0.5","0.55","Ruim"
"Transit Furgão","1","0.6","0.4","0.3","0.425","Ruim"
"Transit Minibus","0.5","0.2","0.2","0.6","0.575","Ruim"
"Bronco Sport","0.9","0.3","0.1","0.2","0.375","Ruim"
"Ranger XL","0","0.3","0","0.2","0.375","Ruim"
"Ranger XL CD","0.8","0.1","0.5","0.7","0.125","Ruim"
"Territory","0.8","0.8","0.4","0.9","0.525","Ruim"
"Transit Furgão","0.5","0.2","0.3","0","0.725","Revisao"
"Mustang Mach1","0","0","0.2","0.3","0.25","Ruim"
"Mustang Mach1","0.8","1","0.2","0.2","0.125","Ruim"
"Transit Minibus","0.7","0.8","0.8","0.5","0.55","Ruim"
"Ranger","0.5","0.3","0.8","0.8","0.7","Revisao"
"Transit Furgão","0.3","0","0.8","1","0.6","Ruim"
"Marick","0.8","1","0.2","0.8","0.525","Ruim"
"Bronco Sport","0.9","0.9","0","0","0.7","Revisao"
"Ranger XL CD","0.7","0.5","0.9","0.1","0.45","Ruim"
"Mustang Mach1","0.6","0.2","0.1","0.1","0.55","Ruim"
"Territory","0.1","0.6","0.7","0","0.25","Ruim"
"Marick","0.1","0.7","0.3","0.5","0.35","Ruim"
"Transit Furgão","0.9","0.9","0.7","0.1","0.4","Ruim"
"Transit Furgão","0.9","1","1","0.9","0.65","Revisao"
"Ranger XL","1","0.6","0","0.2","0.95","Bom"
"Transit Minibus","0","0.4","0.8","0.3","0.45","Ruim"
"Bronco Sport","0.4","0.4","0.1","0.4","0.375","Ruim"
"Transit Minibus","0.5","0.4","0.6","0","0.325","Ruim"
"Marick","0.3","0.9","0.2","0.6","0.375","Ruim"
"Marick","1","0.4","0.6","0.8","0.5","Ruim"
"Bronco Sport","0.3","0.2","0.3","0.5","0.7","Revisao"
"Marick","0.7","1","0","1","0.325","Ruim"
"Ranger","0.4","0.4","1","0.2","0.675","Revisao"
"Mustang Mach1","0.4","0.2","0.7","0.9","0.5","Ruim"
"Bronco Sport","0.4","0.9","1","0.7","0.55","Ruim"
"Marick","0.5","0.2","1","0.3","0.75","Revisao"
"Bronco Sport","0.3","1","0.2","0.7","0.5","Ruim"
"Ranger XL CD","0.5","0.6","1","0.6","0.55","Ruim"
"Transit Furgão","0","0","0.6","0.8","0.675","Revisao"
"Marick","1","0.7","0.9","0.9","0.35","Ruim"
"Ranger","0.7","1","0.1","0.4","0.875","Bom"
"Territory","0.1","0.9","0.3","0.7","0.55","Ruim"
"Territory","0.8","0","0.5","0.4","0.5","Ruim"
"Mustang Mach1","0.9","0.6","0","0.4","0.425","Ruim"
"Marick","0.6","0.2","0.1","1","0.475","Ruim"
"Ranger XL CD","0.6","0.5","0.5","0.7","0.475","Ruim"
"Ranger","0.4","0.4","0.3","0.1","0.575","Ruim"
"Bronco Sport","1","0.3","0.7","0.5","0.3","Ruim"
"Ranger","0.5","0.9","0.3","1","0.625","Revisao"
"Territory","0.5","0.2","0.9","0.9","0.675","Revisao"
"Marick","1","0.2","1","0.1","0.625","Revisao"
"Mustang Mach1","0.3","0.8","0.9","0.7","0.575","Ruim"
"Transit Minibus","0.3","0.3","0.6","0.5","0.675","Revisao"
"Transit Furgão","0.1","0.5","0.6","0.6","0.425","Ruim"
"Ranger XL","0.6","0.7","0.7","0.5","0.45","Ruim"
"Bronco Sport","0.5","0.2","0.9","0.1","0.625","Revisao"
"Ranger XL CD","0.8","0.8","0.2","0.5","0.425","Ruim"
"Transit Minibus","0.5","0.8","0.4","0.7","0.575","Ruim"
"Bronco Sport","0.4","0.3","0.2","0.6","0.6","Ruim"
"Ranger XL CD","0.6","0","0.2","0","0.375","Ruim"
"Territory","0.2","0.3","0.4","0.9","0.2","Ruim"
"Ranger XL","0.1","0","0.3","1","0.45","Ruim"
"Transit Furgão","0.2","0.1","0.4","0.9","0.35","Ruim"
"Mustang Mach1","0.8","0.2","1","0.9","0.4","Ruim"
"Ranger XL","0.7","0.8","1","0.4","0.725","Revisao"
"Ranger XL","0.1","0.5","0.8","0.2","0.725","Revisao"
"Bronco Sport","1","1","0.8","0.2","0.4","Ruim"
"Territory","0.8","0.6","0.3","0.2","0.75","Revisao"
"Ranger","0.1","0.7","0.1","0.5","0.475","Ruim"
"Mustang Mach1","1","1","0","0.1","0.35","Ruim"
"Transit Minibus","0.6","0.6","1","0.8","0.525","Ruim"
"Ranger XL CD","0","0.8","0","0.4","0.75","Revisao"
"Ranger XL CD","0.3","0.8","0","0.1","0.3","Ruim"
"Ranger","0.8","0.5","0.5","0.5","0.3","Ruim"
"Ranger XL CD","0.1","0.1","0.1","0.9","0.575","Ruim"
"Ranger XL","0","0.8","0.3","1","0.3","Ruim"
"Transit Minibus","0.2","1","0.1","0.6","0.525","Ruim"
"Transit Furgão","0.9","1","0.5","0.6","0.475","Ruim"
"Ranger XL CD","0.6","0.6","0","0.5","0.75","Revisao"
"Marick","0.7","0.3","0","0.7","0.425","Ruim"
"Transit Furgão","1","0.6","0.8","0.9","0.425","Ruim"
"Bronco Sport","0","0.2","0.2","0.3","0.825","Bom"
"Ranger","0.9","0.3","0.8","0","0.175","Ruim"
"Mustang Mach1","0","0.5","0","0.6","0.5","Ruim"
"Transit Furgão","1","0","0.7","0.4","0.275","Ruim"
"Marick","0.3","0.6","0.3","0.4","0.525","Ruim"
"Transit Minibus","0.2","0.2","1","0.8","0.4","Ruim"
"Transit Minibus","0","1","0.1","0.2","0.55","Ruim"
"Ranger XL","0.9","0.7","0.9","0.1","0.325","Ruim"
"Mustang Mach1","0.5","0","1","1","0.65","Revisao"
"Marick","0.2","0.2","0.2","0.3","0.625","Revisao"
"Bronco Sport","0.8","0.9","0.1","0.3","0.225","Ruim"
"Ranger XL CD","1","0.8","0.4","0.9","0.525","Ruim"
"Ranger XL CD","0.4","0.6","0.8","0.4","0.775","Revisao"
"Transit Furgão","0.2","0.1","1","0","0.55","Ruim"
"Transit Minibus","0.8","0","0.7","0.9","0.325","Ruim"
"Mustang Mach1","0.5","0.8","0.5","0.1","0.6","Ruim"
"Mustang Mach1","1","0","0.4","0.4","0.475","Ruim"
"Ranger","0","0.8","0.5","0.8","0.45","Ruim"
"Transit Minibus","0.9","0.3","0.6","0.7","0.525","Ruim"
"Territory","0.8","0.6","0.2","0","0.625","Revisao"
"Bronco Sport","0.4","0.3","0.6","0.7","0.4","Ruim"
"Bronco Sport","0.5","0.3","0.2","0.7","0.5","Ruim"
"Transit Furgão","0.3","0.1","0.9","0.3","0.425","Ruim"
"Marick","1","0.9","0.3","0.9","0.4","Ruim"
"Marick","0","0.7","0.1","0.8","0.775","Revisao"
"Ranger XL","0.6","0","0.1","0.9","0.4","Ruim"
"Marick","0.6","0.5","0.1","0.1","0.4","Ruim"
"Territory","0.2","0.5","1","0.6","0.325","Ruim"
"Ranger","0.9","0.8","0.8","0","0.575","Ruim"
"Ranger XL CD","0","0.3","0.2","0.8","0.625","Revisao"
"Ranger XL CD","0.6","0","0","0.2","0.325","Ruim"
"Ranger XL CD","0.4","0.4","1","0.9","0.2","Ruim"
"Territory","0.1","0.5","0.4","0.1","0.675","Revisao"
"Ranger XL CD","0.4","0.2","0.5","0.3","0.275","Ruim"
"Mustang Mach1","0.5","0.2","0.2","0.1","0.35","Ruim"
"Mustang Mach1","0.9","0.3","0.5","0","0.25","Ruim"
"Territory","0.1","0","0.4","0.2","0.425","Ruim"
"Mustang Mach1","0.2","0","0.5","0.6","0.175","Ruim"
"Ranger","0.8","0.5","1","0.1","0.325","Ruim"
"Marick","0.6","1","0.8","0.5","0.6","Ruim"
"Ranger XL CD","0.8","0.4","0.3","0.4","0.325","Ruim"
"Bronco Sport","0.7","0.8","0.4","0.5","0.475","Ruim"
"Mustang Mach1","0.3","0.8","0.7","0.3","0.6","Ruim"
"Ranger XL CD","0.2","0.5","0.9","0.7","0.525","Ruim"
"Ranger XL","0.4","0.1","0.3","0.5","0.575","Ruim"
"Territory","0.2","0.2","0.4","0.2","0.325","Ruim"
"Ranger XL CD","0.5","0.9","0.3","0.8","0.25","Ruim"
"Bronco Sport","0.3","0.6","0.2","0.1","0.5","Ruim"
"Bronco Sport","0.7","0.3","0.7","0.1","0.3","Ruim"
"Mustang Mach1","0.6","1","0.2","0.7","0.45","Ruim"
"Mustang Mach1","1","0.3","0","0.3","0.4","Ruim"
"Ranger XL CD","0.6","1","0.6","0","0.4","Ruim"
"Transit Furgão","0.3","1","0.3","0.2","0.55","Ruim"
"Territory","0.3","1","0.1","0.7","0.45","Ruim"
"Marick","0.7","0.5","0.3","0","0.525","Ruim"
"Marick","0","0.8","0.6","0","0.375","Ruim"
"Ranger XL","0.5","0.2","0.4","0.6","0.35","Ruim"
"Ranger XL CD","0.6","0.4","0.8","0.9","0.425","Ruim"
"Transit Minibus","0","0.4","0","0.4","0.55","Ruim"
"Territory","0.1","0.9","0.3","0.8","0.2","Ruim"
"Ranger XL","0.7","0.7","0.1","0.1","0.525","Ruim"
"Bronco Sport","0.4","0.4","1","1","0.4","Ruim"
"Territory","0.2","0","0.8","0","0.225","Ruim"
"Transit Minibus","0.1","0.2","0.1","0.4","0.25","Ruim"
"Ranger XL","0","0.8","0.8","0.6","0.2","Ruim"
"Ranger","0.3","0.8","0.5","0.4","0.55","Ruim"
"Ranger XL","0.7","0.6","1","0.1","0.5","Ruim"
"Ranger XL","0.2","0","0.4","0.8","0.6","Ruim"
"Marick","0.9","1","0.6","0.2","0.35","Ruim"
"Mustang Mach1","0.2","0.7","0.3","0.4","0.525","Ruim"
"Mustang Mach1","0.6","0.1","0.3","0.1","0.4","Ruim"
"Transit Minibus","1","0.8","0.7","0.4","0.275","Ruim"
"Marick","0.6","0.1","1","0.7","0.425","Ruim"
"Transit Furgão","0.5","0.1","0.5","0.8","0.6","Ruim"
"Mustang Mach1","1","0.2","0.1","0","0.475","Ruim"
"Mustang Mach1","0.7","0.7","0.8","0.7","0.325","Ruim"
"Marick","0.4","1","0.9","1","0.175","Ruim"
"Bronco Sport","0.1","0","0.4","1","0.825","Bom"
"Transit Minibus","0.9","0.4","0.2","0.3","0.575","Ruim"
"Territory","0.3","0.7","0","0","0.45","Ruim"
"Bronco Sport","1","0.4","0.5","1","0.25","Ruim"
"Bronco Sport","0.5","0.9","0.8","0.8","0.6","Ruim"
"Ranger","0.5","0.9","0.8","1","0.3","Ruim"
"Ranger XL","1","0.2","0.8","0.9","0.8","Bom"
"Mustang Mach1","0.7","0","0","0.7","0.475","Ruim"
"Territory","0.9","0.6","0.8","0.5","0.35","Ruim"
"Marick","0","0.1","0.3","0","0.3","Ruim"
"Ranger XL CD","0.2","0.3","0.1","0.7","0.1","Ruim"
"Ranger XL","0.5","0.3","1","0.4","0.325","Ruim"
"Marick","0","0.4","0","1","0.55","Ruim"
"Marick","0.4","0.4","0.1","0.4","0.35","Ruim"
"Marick","0.9","0.6","0.8","0.8","0.325","Ruim"
"Transit Minibus","0.9","0","0","0.4","0.25","Ruim"
"Ranger XL CD","0","0.1","0.5","0.1","0.325","Ruim"
"Ranger XL CD","0.9","0.5","0.9","0.8","0.175","Ruim"
"Mustang Mach1","0.6","0.4","0.7","0.4","0.475","Ruim"
"Transit Minibus","0.4","0.8","0.6","0.8","0.525","Ruim"
"Ranger XL CD","0","0.5","0.5","0.3","0.575","Ruim"
"Ranger XL","0.2","0.2","0.9","1","0.325","Ruim"
"Mustang Mach1","0.7","0.8","0.2","0.5","0.575","Ruim"
"Mustang Mach1","0.3","0.7","0.1","0.4","0.55","Ruim"
"Ranger XL CD","0.7","0.6","0.3","0.5","0.375","Ruim"
"Transit Minibus","0.4","0","0.7","0.6","0.525","Ruim"
"Ranger","1","0","0.5","0.9","0.425","Ruim"
"Ranger XL CD","0.9","1","0.7","0.6","0.6","Ruim"
"Ranger XL","0.8","0.2","0.2","0.9","0.8","Bom"
"Ranger XL","0.8","0.8","0","0.6","0.525","Ruim"
"Mustang Mach1","0.8","0.8","1","1","0.55","Ruim"
"Transit Minibus","0","1","0.6","0.8","0.9","Bom"
"Transit Furgão","0.5","0","0.2","0.3","0.6","Ruim"
"Mustang Mach1","0.8","0","0.1","0.3","0.25","Ruim"
"Territory","0.8","0.8","0.5","0.3","0.3","Ruim"
"Bronco Sport","0.2","0.9","0.6","0.1","0.6","Ruim"
"Mustang Mach1","1","0.6","0.2","1","0.45","Ruim"
"Bronco Sport","0.6","0.2","0","0.8","0.4","Ruim"
"Transit Minibus","0.9","0","1","0.2","0.4","Ruim"
"Territory","1","0.9","0","0","0.525","Ruim"
"Marick","0.8","0.9","0.5","0.6","0.475","Ruim"
"Bronco Sport","0.3","0","0.9","0.6","0.275","Ruim"
"Marick","0.3","0.5","0.6","0.1","0.45","Ruim"
"Mustang Mach1","0","1","0.3","0","0.375","Ruim"
"Territory","0.8","0.9","0.5","0.2","0.325","Ruim"
"Mustang Mach1","0.3","0.3","0.9","0.7","0.6","Ruim"
"Marick","0.3","0","0.9","0.3","0.55","Ruim"
"Transit Minibus","0.1","0.7","0.1","0.2","0.375","Ruim"
"Ranger XL CD","0.5","0.8","0.9","0.3","0.275","Ruim"
"Ranger XL CD","0.3","0.5","1","1","0.45","Ruim"
"Ranger","0.2","0.5","0.7","0.5","0.35","Ruim"
"Ranger XL","0","0.1","1","0","0.475","Ruim"
"Bronco Sport","0.8","0.7","0.3","0.9","0.275","Ruim"
"Bronco Sport","0.9","0.8","0.9","1","0.25","Ruim"
"Transit Minibus","0.3","0.4","1","0.5","0.9","Bom"
"Transit Minibus","1","0.7","0.7","0.7","0.55","Ruim"
"Transit Furgão","0.6","0.4","0.2","1","0.575","Ruim"
"Transit Minibus","0.5","0.1","0.6","0.8","0.55","Ruim"
"Mustang Mach1","0.9","0.9","0","0.7","0.5","Ruim"
"Marick","0.7","0.8","0.4","0.2","0.275","Ruim"
"Bronco Sport","0","0.5","1","0","0.525","Ruim"
"Marick","0","0.4","0","0.2","0.375","Ruim"
"Ranger XL CD","0.4","0.3","0.3","0.6","0.15","Ruim"
"Bronco Sport","0.5","0.9","0.5","0.2","0.4","Ruim"
"Ranger XL","0.9","0.7","0.7","0.5","0.525","Ruim"
"Transit Minibus","0.3","0.6","1","0.9","0.45","Ruim"
"Territory","0.3","0.6","0.7","0.8","0.325","Ruim"
"Transit Furgão","1","0.4","0.5","0.8","0.6","Ruim"
"Transit Minibus","0.8","0.8","0.7","0.5","0.2","Ruim"
"Transit Minibus","0.7","0.8","0.7","0.3","0.4","Ruim"
"Ranger","0.9","0.5","0.5","0","0.85","Bom"
"Ranger XL CD","0.9","0.2","0.4","0.2","0.475","Ruim"
"Transit Furgão","0","1","0.1","0.6","0.425","Ruim"
"Ranger","0.7","0.3","0.1","0.5","0.425","Ruim"
"Transit Furgão","0.9","0.5","0.9","0.5","0.4","Ruim"
"Transit Minibus","0.5","0.5","0.1","0.8","0.375","Ruim"
"Marick","0.7","0.8","0.8","0.4","0.475","Ruim"
"Ranger XL","0.5","0.2","0.8","0.5","0.375","Ruim"
"Transit Furgão","0.6","0.1","0.8","0.9","0.5","Ruim"
"Ranger XL","0","0.5","0.3","0.3","0.6","Ruim"
"Mustang Mach1","0.4","0","0","0.3","0.275","Ruim"
"Marick","0.9","0.4","0.7","0.9","0.175","Ruim"
"Transit Minibus","0.5","0","0.1","0.1","0.425","Ruim"
"Ranger XL CD","0.4","0","0","0.6","0.175","Ruim"
"Mustang Mach1","0.5","0.9","0.2","0.7","0.25","Ruim"
"Transit Minibus","0.2","0.2","0.6","0.8","0.575","Ruim"
"Marick","0.4","0","0.4","0.5","0.45","Ruim"
"Transit Furgão","0.6","0.3","0.6","0.1","0.325","Ruim"
"Transit Minibus","0","0.5","0.9","0.5","0.8","Bom"
"Transit Furgão","0.9","0.4","0.2","0.9","0.825","Bom"
"Transit Minibus","0.5","0.8","0.1","1","0.8","Bom"
"Mustang Mach1","0.3","0.2","0.3","0.9","0.85","Bom"
"Transit Minibus","1","0.3","1","0.1","0.9","Bom"
"Ranger XL CD","0.5","0.8","0.7","1","0.85","Bom"
"Territory","0.7","0.3","0.7","0","0.8","Bom"
"Transit Furgão","1","1","0.7","0","0.8","Bom"
"Transit Minibus","0.6","0.6","0.5","0.2","0.8","Bom"
"Mustang Mach1","0.5","0.3","0.6","0.9","0.8","Bom"
"Bronco Sport","0.3","0.6","0.5","0","0.85","Bom"
"Territory","0.9","0.4","0.9","1","0.9","Bom"
"Ranger","0.6","0.6","0.1","1","0.8","Bom"
"Bronco Sport","0","0.1","0.5","0.5","0.85","Bom"
"Bronco Sport","1","0.3","0.7","0.7","0.825","Bom"
"Ranger","0.2","0.7","0.2","0","0.825","Bom"
"Ranger XL CD","0.9","0.2","0.6","0.2","0.95","Bom"
"Ranger","1","0.7","0.7","0.5","0.825","Bom"
"Transit Furgão","0","0","1","0.8","0.8","Bom"
"Ranger","0.3","0.7","0.7","0.2","0.85","Bom"
"Mustang Mach1","0.1","0.2","0.4","1","0.8","Bom"
"Marick","0.1","0.1","0.6","0.8","0.7","Revisao"
"Transit Furgão","0.1","0.8","0.7","0.5","0.8","Bom"
